# TechNova Solutions - Product Catalog

## Complete Product Directory

Below is the comprehensive list of all TechNova Solutions products organized by department. Use the **Product ID** when creating ServiceNow incidents.

---

## CLOUD - Cloud Infrastructure Services

| Product ID | Product Name | Description | Tier |
| ERP-008 | NovaSuite Sales | Sales force automation | Standard |
| ERP-009 | NovaSuite Analytics | ERP reporting and analytics | Standard |
| ERP-010 | NovaSuite Mobile | Mobile ERP access application | Standard |

---

## Product Tier Definitions

| Tier | Support Response Time | Availability SLA | Support Hours |
|------|----------------------|------------------|---------------|
| **Standard** | 4 hours | 99.5% | Business hours (6 AM - 10 PM CT) |
| **Enterprise** | 2 hours | 99.9% | 24/7 |
| **Premium** | 1 hour | 99.99% | 24/7 with dedicated support |

